City_ID!,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint George,US,2023-01-08 18:26:55,37.1041,-113.5841,9.68,59,20,2.57
1,Sur,OM,2023-01-08 18:26:55,22.5667,59.5289,21.36,72,0,1.28
2,Paharpur,PK,2023-01-08 18:26:55,32.1038,70.9724,13.13,45,0,1.99
3,Jamestown,US,2023-01-08 18:26:56,42.097,-79.2353,-0.23,69,100,2.57
4,Chuy,UY,2023-01-08 18:26:56,-33.6971,-53.4616,25.75,54,2,6.59
5,Hermanus,ZA,2023-01-08 18:26:56,-34.4187,19.2345,22.11,82,2,5.14
6,Dikson,RU,2023-01-08 18:26:57,73.5069,80.5464,-35.46,93,22,5.28
7,Selestat,FR,2023-01-08 18:26:57,48.2598,7.4565,9.43,87,100,2.06
8,Klaksvik,FO,2023-01-08 18:26:58,62.2266,-6.589,5.51,86,74,18.78
9,Vestmanna,FO,2023-01-08 18:26:58,62.1564,-7.1664,4.51,81,100,8.75
10,Luena,AO,2023-01-08 18:26:59,-11.7833,19.9167,17.65,96,96,2.08
11,Luderitz,NA,2023-01-08 18:26:59,-26.6481,15.1594,18.02,81,0,0.47
12,Nileshwar,IN,2023-01-08 18:27:00,12.25,75.1,24.69,75,0,3.13
13,Ushuaia,AR,2023-01-08 18:27:00,-54.8,-68.3,21.81,35,20,2.57
14,Port Blair,IN,2023-01-08 18:27:00,11.6667,92.75,26.02,69,20,1.03
15,Daultala,PK,2023-01-08 18:27:01,33.1925,73.1413,12.01,76,50,2.77
16,Nanortalik,GL,2023-01-08 18:27:01,60.1432,-45.2371,-2.83,78,100,3.99
17,Clyde River,CA,2023-01-08 18:27:02,70.4692,-68.5914,-32.87,68,0,1.54
18,Georgetown,MY,2023-01-08 18:27:02,5.4112,100.3354,26.64,88,20,1.03
19,Cape Town,ZA,2023-01-08 18:22:49,-33.9258,18.4232,21.73,81,20,8.75
20,Longyearbyen,SJ,2023-01-08 18:27:03,78.2186,15.6401,-5.09,63,20,4.63
21,Qaanaaq,GL,2023-01-08 18:27:03,77.484,-69.3632,-26.42,96,99,2.05
22,Vardo,NO,2023-01-08 18:27:03,70.3705,31.1107,-4.01,63,100,19.03
23,Mahebourg,MU,2023-01-08 18:27:04,-20.4081,57.7,26.25,78,40,3.6
24,Constantine,DZ,2023-01-08 18:22:05,36.365,6.6147,11.67,54,40,5.66
25,Voznesenye,RU,2023-01-08 18:27:04,61.0106,35.4781,-20.41,89,7,2.94
26,Bredasdorp,ZA,2023-01-08 18:27:05,-34.5322,20.0403,20.74,79,2,3.29
27,Mar Del Plata,AR,2023-01-08 18:24:38,-38.0023,-57.5575,28.79,80,0,10.28
28,Halifax,CA,2023-01-08 18:25:53,44.6453,-63.5724,-5.0,69,13,8.75
29,Torbay,CA,2023-01-08 18:27:05,47.6666,-52.7314,-0.34,78,100,2.57
30,The Valley,AI,2023-01-08 18:27:06,18.217,-63.0578,28.23,65,20,6.17
31,Valls,ES,2023-01-08 18:27:06,41.2861,1.2499,13.05,80,20,2.06
32,Constanta,RO,2023-01-08 18:27:07,44.1833,28.65,4.38,81,100,6.49
33,Polonnaruwa,LK,2023-01-08 18:27:07,7.9333,81.0,22.63,85,42,1.35
34,Mauriti,BR,2023-01-08 18:27:07,-7.3892,-38.7744,35.01,23,49,2.29
35,Port Alfred,ZA,2023-01-08 18:27:08,-33.5906,26.891,21.77,80,74,0.89
36,Altay,CN,2023-01-08 18:27:08,47.8667,88.1167,-2.37,88,99,1.71
37,Puerto Del Rosario,ES,2023-01-08 18:27:08,28.5004,-13.8627,19.86,73,20,4.12
38,Boa Vista,BR,2023-01-08 18:25:40,2.8197,-60.6733,30.99,55,75,2.06
39,Rodrigues Alves,BR,2023-01-08 18:27:09,-7.738,-72.6509,31.11,57,62,0.89
40,Carnarvon,AU,2023-01-08 18:27:09,-24.8667,113.6333,23.6,73,0,11.0
41,Tasiilaq,GL,2023-01-08 18:27:10,65.6145,-37.6368,-8.91,53,68,2.95
42,Bambous Virieux,MU,2023-01-08 18:27:10,-20.3428,57.7575,26.23,78,40,3.6
43,Malanje,AO,2023-01-08 18:27:11,-9.5402,16.341,18.26,89,93,1.96
44,Macas,EC,2023-01-08 18:28:11,-2.3167,-78.1167,24.86,69,40,2.06
45,Mecca,SA,2023-01-08 18:28:12,21.4267,39.8261,22.46,64,58,2.12
46,Luban,PL,2023-01-08 18:28:12,51.1201,15.2877,7.1,83,100,3.05
47,Puerto Cabezas,NI,2023-01-08 18:28:13,14.0351,-83.3888,28.98,84,75,6.17
48,Puerto Baquerizo Moreno,EC,2023-01-08 18:28:13,-0.9,-89.6,28.55,58,20,6.17
49,Buchanan,LR,2023-01-08 18:28:14,5.8808,-10.0467,27.84,74,7,4.86
50,Faya,SA,2023-01-08 18:28:15,18.3851,42.4509,13.06,79,11,2.19
51,Chongwe,ZM,2023-01-08 18:28:15,-15.3292,28.682,18.22,98,100,1.45
52,Ponta Do Sol,PT,2023-01-08 18:28:15,32.6667,-17.1,20.95,75,70,2.65
53,Hofn,IS,2023-01-08 18:28:16,64.2539,-15.2082,2.61,69,100,7.37
54,Tazovskiy,RU,2023-01-08 18:28:16,67.4667,78.7,-25.5,98,99,4.77
55,Lebu,CL,2023-01-08 18:28:17,-37.6167,-73.65,19.3,71,4,4.09
56,Manta,EC,2023-01-08 18:28:17,-0.95,-80.7333,26.88,74,75,3.09
57,Bela,IN,2023-01-08 18:28:18,25.9333,81.9833,10.71,41,0,2.04
58,Imbituba,BR,2023-01-08 18:28:18,-28.24,-48.6703,23.87,72,15,5.14
59,Saint-Jean-De-La-Ruelle,FR,2023-01-08 18:28:18,47.9113,1.8648,9.06,94,100,7.2
60,East London,ZA,2023-01-08 18:28:19,-33.0153,27.9116,22.52,78,0,6.17
61,Batamshinskiy,KZ,2023-01-08 18:28:19,50.5594,58.2747,-28.1,100,54,7.22
62,Port-Cartier,CA,2023-01-08 18:27:10,50.0334,-66.8654,-10.14,70,82,2.02
63,San Cristobal,VE,2023-01-08 18:28:20,7.7669,-72.225,24.1,60,48,2.06
64,Kalmunai,LK,2023-01-08 18:28:20,7.4167,81.8167,25.05,79,97,5.87
65,Santa Cruz Do Rio Pardo,BR,2023-01-08 18:28:20,-22.8989,-49.6325,26.4,62,75,3.11
66,Bonfim,BR,2023-01-08 18:28:21,3.0833,-59.95,31.97,55,58,1.59
67,Arraial Do Cabo,BR,2023-01-08 18:28:22,-22.9661,-42.0278,22.98,94,100,4.63
68,Brae,GB,2023-01-08 18:28:22,60.3964,-1.353,7.29,76,81,12.9
69,Tubuala,PA,2023-01-08 18:28:22,9.5167,-79.0333,26.82,79,35,3.78
70,Maraa,BR,2023-01-08 18:28:23,-1.8333,-65.3667,27.09,83,95,0.86
71,Souillac,MU,2023-01-08 18:28:23,-20.5167,57.5167,25.21,78,40,3.6
72,Thompson,CA,2023-01-08 18:26:36,55.7435,-97.8558,-11.91,92,100,2.57
73,Zdvinsk,RU,2023-01-08 18:28:24,54.7021,78.661,-4.95,82,100,10.78
74,Saint-Philippe,RE,2023-01-08 18:28:24,-21.3585,55.7679,26.77,79,51,5.5
75,Urumqi,CN,2023-01-08 18:28:01,43.801,87.6005,-13.47,92,27,0.0
76,Pitimbu,BR,2023-01-08 18:28:24,-7.4706,-34.8086,29.33,64,88,4.98
77,Marzuq,YE,2023-01-08 18:28:25,14.4,46.4667,18.22,78,4,2.39
78,Conakry,GN,2023-01-08 18:28:25,9.538,-13.6773,29.04,65,50,4.12
79,Leningradskiy,RU,2023-01-08 18:28:26,69.3833,178.4167,-29.57,97,88,1.47
80,Sausar,IN,2023-01-08 18:28:26,21.65,78.7833,14.78,24,0,2.06
81,Ribeira Grande,PT,2023-01-08 18:28:26,38.5167,-28.7,17.22,94,75,6.69
82,Hobyo,SO,2023-01-08 18:28:27,5.3505,48.5268,25.68,81,53,8.12
83,Okakarara,NA,2023-01-08 18:28:27,-20.5833,17.4333,28.94,15,43,2.88
84,Victoria,HK,2023-01-08 18:25:49,22.2855,114.1577,19.62,72,100,4.47
85,Busselton,AU,2023-01-08 18:28:28,-33.65,115.3333,14.59,87,0,5.75
86,Hambantota,LK,2023-01-08 18:28:28,6.1241,81.1185,24.19,94,20,4.63
87,San Carlos Del Zulia,VE,2023-01-08 18:28:28,9.0,-71.9135,29.66,64,73,2.22
88,Mende,FR,2023-01-08 18:28:29,44.6667,3.5,3.71,97,99,4.57
89,Micheweni,TZ,2023-01-08 18:29:29,-4.9667,39.8333,27.29,81,83,4.68
90,Touros,BR,2023-01-08 18:29:30,-5.1989,-35.4608,28.59,66,92,5.87
91,Viransehir,TR,2023-01-08 18:29:30,37.2353,39.7631,5.1,77,8,1.46
92,Qrendi,MT,2023-01-08 18:29:31,35.8347,14.4583,14.5,88,20,2.57
93,Porto Torres,IT,2023-01-08 18:28:17,40.835,8.3972,16.1,87,99,10.95
94,Bengkulu,ID,2023-01-08 18:29:31,-3.8004,102.2655,23.58,90,100,2.11
95,Bom Jesus,BR,2023-01-08 18:29:32,-9.0744,-44.3586,30.19,52,95,3.19
96,Sandwick,GB,2023-01-08 18:29:32,60.0,-1.25,7.9,71,40,13.38
97,Xai-Xai,MZ,2023-01-08 18:29:32,-25.0519,33.6442,21.81,77,39,2.9
98,Tambopata,PE,2023-01-08 18:29:33,-12.7333,-69.1833,33.94,55,40,1.54
99,Jumla,NP,2023-01-08 18:29:33,29.2747,82.1838,4.22,38,0,2.0
100,Shahr-E Kord,IR,2023-01-08 18:29:34,32.3256,50.8644,-3.13,74,20,2.06
101,Sept-Iles,CA,2023-01-08 18:29:34,50.2001,-66.3821,-9.97,62,75,4.63
102,Santa Rosa,PH,2023-01-08 18:29:34,14.3122,121.1114,23.99,79,53,4.96
103,Constitucion,CL,2023-01-08 18:29:35,-35.3333,-72.4167,21.13,61,11,4.71
104,Manga,BF,2023-01-08 18:29:35,11.6636,-1.0731,29.26,14,8,3.75
105,Bonavista,CA,2023-01-08 18:26:00,48.6499,-53.1147,-1.43,94,100,2.3
106,Trairi,BR,2023-01-08 18:27:13,-3.2778,-39.2689,29.82,60,56,6.58
107,Mehran,IR,2023-01-08 18:29:36,33.1222,46.1646,11.84,64,8,2.56
108,Los Llanos De Aridane,ES,2023-01-08 18:27:40,28.6585,-17.9182,17.86,81,20,4.12
109,Abu Samrah,SY,2023-01-08 18:29:36,35.3029,37.1841,8.76,73,11,3.39
110,Madimba,TZ,2023-01-08 18:29:37,-10.4,40.3333,26.58,77,65,2.55
111,Punta Arenas,CL,2023-01-08 18:29:37,-53.15,-70.9167,18.06,48,75,4.63
112,Upernavik,GL,2023-01-08 18:29:38,72.7868,-56.1549,-26.54,94,83,4.28
113,Mangrol,IN,2023-01-08 18:29:38,21.1167,70.1167,22.64,75,0,1.07
114,Nuuk,GL,2023-01-08 18:29:38,64.1835,-51.7216,-2.66,74,100,4.47
115,Ostrovnoy,RU,2023-01-08 18:29:39,68.0531,39.5131,-14.62,95,84,4.81
116,Galich,RU,2023-01-08 18:29:39,58.3797,42.3475,-34.57,100,7,1.34
117,Harbour Breton,CA,2023-01-08 18:29:40,47.4833,-55.7983,0.97,72,100,7.12
118,Santiago,CL,2023-01-08 18:25:47,-33.4569,-70.6483,34.05,33,0,7.72
119,Araouane,ML,2023-01-08 18:29:40,18.9048,-3.5265,22.75,11,100,5.06
120,Port-Gentil,GA,2023-01-08 18:29:41,-0.7193,8.7815,27.98,78,20,2.57
121,Cotonou,BJ,2023-01-08 18:29:41,6.3654,2.4183,27.23,78,40,4.84
122,Saint-Pierre,RE,2023-01-08 18:29:41,-21.3393,55.4781,26.82,74,40,1.03
123,Neutraubling,DE,2023-01-08 18:29:42,48.9833,12.2,6.6,94,99,4.92
124,Sao Joao Da Barra,BR,2023-01-08 18:29:42,-21.6403,-41.0511,25.05,85,99,4.87
125,Saldanha,ZA,2023-01-08 18:29:42,-33.0117,17.9442,21.03,89,25,9.45
126,Mantua,IT,2023-01-08 18:29:43,45.1667,10.7833,7.97,92,100,3.13
127,Garowe,SO,2023-01-08 18:29:43,8.4054,48.4845,24.76,57,2,7.84
128,Maragogi,BR,2023-01-08 18:29:44,-9.0122,-35.2225,28.17,63,52,4.63
129,Vila Velha,BR,2023-01-08 18:26:50,-20.3297,-40.2925,24.97,87,75,5.14
130,Zamora,EC,2023-01-08 18:24:58,-4.0692,-78.9567,29.58,84,81,1.93
131,Kangaatsiaq,GL,2023-01-08 18:29:44,68.3065,-53.4641,-18.73,94,42,3.6
132,Geraldton,AU,2023-01-08 18:29:45,-28.7667,114.6,19.23,82,0,4.63
133,Salalah,OM,2023-01-08 18:29:45,17.0151,54.0924,24.05,73,40,2.06
134,Vila Franca Do Campo,PT,2023-01-08 18:29:45,37.7167,-25.4333,17.23,88,27,3.96
135,Yar-Sale,RU,2023-01-08 18:30:46,66.8333,70.8333,-23.73,98,100,5.58
136,Beloha,MG,2023-01-08 18:30:46,-25.1667,45.05,23.96,85,59,1.93
137,Medea,DZ,2023-01-08 18:30:47,36.2642,2.7539,9.12,53,83,2.44
138,Boende,CD,2023-01-08 18:30:47,-0.2167,20.8667,27.56,47,100,0.81
139,Cockburn Town,TC,2023-01-08 18:30:47,21.4612,-71.1419,26.98,57,40,7.2
140,Golspie,GB,2023-01-08 18:30:49,57.9727,-3.978,6.75,79,100,4.15
141,Belmonte,BR,2023-01-08 18:30:49,-15.8631,-38.8828,27.18,74,100,3.62
142,Shubarkuduk,KZ,2023-01-08 18:30:50,49.1447,56.4872,-22.96,97,16,2.31
143,Utete,TZ,2023-01-08 18:30:50,-7.986,38.758,23.85,92,37,1.77
144,Port Elizabeth,ZA,2023-01-08 18:30:50,-33.918,25.5701,21.16,87,0,5.66
145,Blantyre,MW,2023-01-08 18:30:51,-15.785,35.0085,18.65,97,100,2.64
146,Morondava,MG,2023-01-08 18:30:51,-20.2833,44.2833,26.92,83,100,4.55
147,Borovoy,RU,2023-01-08 18:30:52,55.4333,86.0833,2.6,87,100,5.0
148,Jibuti,DJ,2023-01-08 18:29:44,11.5,42.5,21.66,64,5,7.36
149,Cabedelo,BR,2023-01-08 18:30:52,-6.9811,-34.8339,29.37,66,100,5.0
150,Quatre Cocos,MU,2023-01-08 18:30:53,-20.2078,57.7625,26.16,76,9,5.27
151,Ekibastuz,KZ,2023-01-08 18:30:53,51.6667,75.3667,-15.14,78,53,12.56
152,Paamiut,GL,2023-01-08 18:30:53,61.994,-49.6678,-3.34,71,100,5.21
153,Antalaha,MG,2023-01-08 18:30:54,-14.9003,50.2788,24.39,88,4,1.78
154,Huarmey,PE,2023-01-08 18:30:54,-10.0681,-78.1522,23.83,71,14,4.91
155,Coquimbo,CL,2023-01-08 18:30:55,-29.9533,-71.3436,21.85,68,20,6.69
156,Cove,BJ,2023-01-08 18:30:55,7.221,2.3402,28.87,30,91,2.67
157,Lagoa,PT,2023-01-08 18:30:56,39.05,-27.9833,15.78,93,48,8.4
158,Molchanovo,RU,2023-01-08 18:30:56,57.5817,83.7692,1.34,94,100,7.07
159,Luanda,AO,2023-01-08 18:30:57,-8.8368,13.2343,26.0,83,75,2.57
160,Middle Island,US,2023-01-08 18:30:57,40.8843,-72.9373,5.47,52,0,3.09
161,Marawi,PH,2023-01-08 18:30:58,7.9986,124.2928,19.02,97,100,0.88
162,Dingle,PH,2023-01-08 18:30:58,10.9995,122.6711,22.74,91,100,4.06
163,Rawson,AR,2023-01-08 18:30:59,-43.3002,-65.1023,34.46,25,100,11.32
164,Borujerd,IR,2023-01-08 18:30:59,33.8973,48.7516,-0.57,78,9,1.67
165,Sinnamary,GF,2023-01-08 18:30:59,5.3833,-52.95,25.3,88,96,5.04
166,Kilimatinde,TZ,2023-01-08 18:31:00,-5.85,34.95,21.38,74,92,1.12
167,Kabul,AF,2023-01-08 18:31:00,34.5,69.4167,0.2,96,100,0.83
168,Yerazgavors,AM,2023-01-08 18:31:01,40.7,43.75,-2.57,54,100,0.51
169,Antofagasta,CL,2023-01-08 18:30:31,-23.65,-70.4,22.6,62,1,4.77
170,Bindura,ZW,2023-01-08 18:31:01,-17.3019,31.3306,17.29,96,100,1.01
171,Villacarrillo,ES,2023-01-08 18:31:02,38.1156,-3.0848,10.91,97,100,5.77
172,Hithadhoo,MV,2023-01-08 18:31:02,-0.6,73.0833,26.83,74,92,2.18
173,Oktyabrskiy,RU,2023-01-08 18:31:03,54.4815,53.471,-32.56,100,90,1.41
174,Adrar,MR,2023-01-08 18:31:03,20.5022,-10.0711,19.81,14,100,5.37
175,Namibe,AO,2023-01-08 18:31:04,-15.1961,12.1522,22.38,73,100,3.09
176,Inta,RU,2023-01-08 18:31:04,66.0317,60.1659,-31.57,97,100,3.53
177,Matveyevka,RU,2023-01-08 18:31:05,52.15,56.1833,-30.41,100,98,0.32
178,Kiruna,SE,2023-01-08 18:31:06,67.8557,20.2251,-11.49,79,100,3.09
179,Lokoja,NG,2023-01-08 18:31:06,7.8024,6.743,29.28,16,24,1.39
180,Ciudad Bolivar,VE,2023-01-08 18:31:06,8.1222,-63.5497,30.2,53,100,4.58
181,San Julian,MX,2023-01-08 18:31:07,21.0167,-102.1667,21.4,19,0,3.1
182,Tigzirt,DZ,2023-01-08 18:32:07,36.8886,4.1198,15.79,52,87,4.29
183,Harper,LR,2023-01-08 18:32:07,4.375,-7.7169,27.24,77,14,4.03
184,Ramnagar,IN,2023-01-08 18:32:08,29.4,79.1167,11.82,42,5,1.5
185,Hammerfest,NO,2023-01-08 18:32:08,70.6634,23.6821,-7.75,73,40,13.38
186,Kichmengskiy Gorodok,RU,2023-01-08 18:32:09,59.9816,45.7854,-38.71,100,29,1.15
187,Nuqui,CO,2023-01-08 18:32:09,5.7125,-77.2708,27.19,76,94,3.14
188,Tromso,NO,2023-01-08 18:32:10,69.6496,18.957,-2.99,68,40,8.75
189,Viedma,AR,2023-01-08 18:32:10,-40.8135,-62.9967,38.14,17,32,10.91
