,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Vaini,TO,26.09,moderate rain,-21.2,-175.2,Keleti International Resort
18,Saint-Philippe,RE,26.77,broken clouds,-21.3585,55.7679,Le Baril
20,Cape Town,ZA,27.43,few clouds,-33.9258,18.4232,Townhouse Hotel
21,Mbandaka,CD,30.77,scattered clouds,0.0487,18.2603,Hôtel Epervier
22,Atuona,PF,25.17,overcast clouds,-9.8,-139.0333,Pearl Resort
26,Bredasdorp,ZA,25.48,clear sky,-34.5322,20.0403,Victoria Hotel
29,Georgetown,MY,28.97,few clouds,5.4112,100.3354,Page 63 hostel
30,Balikpapan,ID,25.55,few clouds,-1.2675,116.8289,Hotel Grand Senyiur
31,Rikitea,PF,25.56,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
32,Chuy,UY,22.71,overcast clouds,-33.6971,-53.4616,Alerces
40,Oranjestad,AW,28.28,scattered clouds,12.524,-70.027,Hotel California
42,Cidreira,BR,27.23,broken clouds,-30.1811,-50.2056,Hotel Castelo
43,Pisco,PE,22.03,clear sky,-13.7,-76.2167,La Portada
45,Cairns,AU,25.59,light rain,-16.9167,145.7667,Cairns Queens Court Accommodation
47,Hermanus,ZA,23.78,clear sky,-34.4187,19.2345,Aloe guest house
48,Hithadhoo,MV,27.32,overcast clouds,-0.6,73.0833,Pebbles Inn
49,Mahebourg,MU,28.16,broken clouds,-20.4081,57.7,Grand Bel Air
51,Victoria,HK,24.03,clear sky,22.2855,114.1577,四季酒店 Four Seasons Hotel
59,Akyab,MM,22.36,clear sky,20.15,92.9,Yuzana Aung Motel 1
69,Hervey Bay,AU,23.65,light rain,-25.2986,152.8535,Hervey Bay Hotel
70,Isangel,VU,24.63,clear sky,-19.55,169.2667,Tanna Lodge
72,Alice Springs,AU,31.23,haze,-23.7,133.8833,Aurora Alice Springs
87,Hilo,US,22.38,clear sky,19.7297,-155.09,Dolphin Bay Hotel
89,Gizo,SB,27.51,overcast clouds,-8.103,156.8419,Gizo Hotel
91,Faanui,PF,27.24,light rain,-16.4833,-151.75,Oa Oa Lodge
95,Castro,BR,25.23,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
98,Ilhabela,BR,29.07,broken clouds,-23.7781,-45.3581,Vila Kebaya
101,Avarua,CK,24.03,overcast clouds,-21.2078,-159.775,Paradise Inn
106,Ko Samui,TH,26.95,few clouds,9.5357,99.9357,Nathon Residence
108,Makasar,ID,26.03,few clouds,-5.14,119.4221,Pondok Dahlia House
117,Praya,CV,25.3,few clouds,14.9215,-23.5087,Casa Sodadi
123,Yeppoon,AU,20.88,light rain,-23.1333,150.7333,Blossom's on Seaspray
125,Port Elizabeth,ZA,25.73,clear sky,-33.918,25.5701,Waterford Hotel
127,Taltal,CL,20.59,clear sky,-25.4,-70.4833,Hostería Taltal
134,Marsh Harbour,BS,23.67,clear sky,26.5412,-77.0636,Lofty Fig Villas
135,Sao Filipe,CV,23.25,clear sky,14.8961,-24.4956,Bela Vista
138,Biltine,TD,29.25,clear sky,14.5333,20.9167,فندق ثلاث نجوم بلتن
139,Yulara,AU,30.09,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
142,Salalah,OM,23.31,few clouds,17.0151,54.0924,Muscat International Hotel
143,Axim,GH,29.88,few clouds,4.8699,-2.2405,Axim Beach Hotel
152,Seddon,AU,20.97,broken clouds,-37.8068,144.8916,Palms Hotel
153,Pontianak,ID,24.99,few clouds,-0.0333,109.3333,Golden Tulip Hotel
156,Saldanha,ZA,25.03,scattered clouds,-33.0117,17.9442,Hoedjesbaai
163,Mar Del Plata,AR,21.57,few clouds,-38.0023,-57.5575,Nuevo Ostende
172,Nishihara,JP,21.6,few clouds,26.1842,127.7558,ユインチホテル南城
173,Manta,EC,26.88,broken clouds,-0.95,-80.7333,La Gaviota
175,Gladstone,AU,20.96,light rain,-23.85,151.25,Gladstone Downtown Central
179,Bathsheba,BB,28.34,scattered clouds,13.2167,-59.5167,Atlantis Hotel
180,Puerto Ayora,EC,24.98,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
188,Honiara,SB,25.06,light rain,-9.4333,159.95,King Solomon Hotel
190,Necochea,AR,20.1,overcast clouds,-38.5473,-58.7368,Cabañas Río Quequén
198,Dori,BF,29.47,clear sky,14.0354,-0.0345,Kuin Deni Dori
202,Kralendijk,BQ,28.99,scattered clouds,12.15,-68.2667,Hotel Bonaire Inn
203,Antofagasta,CL,21.6,few clouds,-23.65,-70.4,Hotel Colón
209,Ambon,ID,26.08,few clouds,-3.6954,128.1814,Hotel Hero
210,Moroni,KM,30.0,scattered clouds,-11.7022,43.2551,Ville de Moroni
216,Lorengau,PG,27.62,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
218,Paita,PE,23.18,broken clouds,-5.0892,-81.1144,Victor's
223,San Juan,AR,25.52,clear sky,-31.5375,-68.5364,Hotel San Francisco
225,Bengkulu,ID,24.87,broken clouds,-3.8004,102.2655,Dena Hotel
226,San Cristobal,VE,23.1,broken clouds,7.7669,-72.225,Terra Sur
227,Port Blair,IN,27.02,mist,11.6667,92.75,Andaman Ocean Breeze
236,Rawson,AR,23.7,clear sky,-43.3002,-65.1023,Hotel Deportivo
238,Waingapu,ID,26.3,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
239,Neiafu,TO,25.38,moderate rain,-18.65,-173.9833,Port Wine Guest House
251,Cayenne,GF,27.02,broken clouds,4.9333,-52.3333,Central Hôtel
252,Kununurra,AU,24.99,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
254,Eyl,SO,25.68,overcast clouds,7.9803,49.8164,فندق ايل دابي
262,Viedma,AR,25.87,clear sky,-40.8135,-62.9967,Níjar
264,Atar,MR,28.25,clear sky,20.5169,-13.0499,فندق سكليل
270,Broken Hill,AU,29.74,broken clouds,-31.95,141.4333,Ibis Styles
271,Banjarmasin,ID,25.08,light rain,-3.3244,114.591,Hotel Grand Mentari
275,Voh,NC,22.96,clear sky,-20.9667,164.7,Le Vook
279,Omboue,GA,28.0,light rain,-1.5746,9.2618,Georges Faustin Aurat
287,Kamina,CD,20.49,light rain,-8.7386,24.9906,Hôtel DG
288,Cobija,BO,27.1,broken clouds,-11.0267,-68.7692,Hotel El Cristo
289,Inhambane,MZ,29.99,light rain,-23.865,35.3833,Hotel de Inhambane
290,Kavieng,PG,27.58,overcast clouds,-2.5744,150.7967,Kavieng Hotel
291,Grand-Lahou,CI,29.75,broken clouds,5.1367,-5.0242,Cap Lahou
294,Puerto Colombia,CO,28.05,few clouds,10.9878,-74.9547,Hotel Puerto Colombia
295,Sao Joao Da Barra,BR,30.05,scattered clouds,-21.6403,-41.0511,Pousada Mediterrâneo
298,Sabang,ID,27.69,broken clouds,5.8933,95.3214,Sabang Hill
309,Tucuman,AR,22.0,scattered clouds,-26.8241,-65.2226,Suites San Luis
317,Labuan,MY,25.2,few clouds,5.2767,115.2417,Labuan Avenue Hotel
319,Sal Rei,CV,26.11,clear sky,16.1833,-22.9167,Hotel Marine Club
321,Touros,BR,30.14,few clouds,-5.1989,-35.4608,Pousada Atlântico
326,Malindi,KE,30.09,few clouds,-3.2175,40.1191,Young Safari
328,Oistins,BB,28.05,scattered clouds,13.0667,-59.5333,The Abidah By Accra
330,Cap Malheureux,MU,26.37,scattered clouds,-19.9842,57.6142,Cape Garden
331,Sydney,AU,22.61,scattered clouds,-33.8679,151.2073,The Westin
332,Kanniyakumari,IN,24.54,few clouds,8.0833,77.5667,The Seashore Hotel
335,Luganville,VU,25.71,broken clouds,-15.5333,167.1667,Beachfront Resort
338,Pimentel,PE,21.16,clear sky,-6.8367,-79.9342,Hospedaje Calle del Sol
340,Albina,SR,28.82,overcast clouds,5.5,-54.05,Amazonie accueil
342,Acapulco,MX,22.9,broken clouds,16.8634,-99.8901,Hotel del Valle
355,Grand Gaube,MU,28.22,scattered clouds,-20.0064,57.6608,Coco Villa
359,Santa Rosa,PH,26.17,overcast clouds,14.3122,121.1114,JARS RESORT
361,Bosaso,SO,25.99,clear sky,11.2842,49.1816,Bosaso hotel
362,Sibolga,ID,24.52,heavy intensity rain,1.7427,98.7792,Hotel Prima Indah
367,Benguela,AO,25.68,overcast clouds,-12.5763,13.4055,Hotel Moibela
369,Wewak,PG,26.19,overcast clouds,-3.5534,143.6268,Village Inn
370,La Plata,AR,28.35,clear sky,-34.9215,-57.9545,Hotel Catedral
372,Kaabong,UG,25.57,clear sky,3.4836,34.1492,Sacavian
387,Port Lincoln,AU,22.69,clear sky,-34.7333,135.8667,Boston Hotel
389,Berbera,SO,25.18,broken clouds,10.4396,45.0143,Al Madina Hotel
396,Souillac,MU,28.21,broken clouds,-20.5167,57.5167,Hotel SkylineInn
397,Lazaro Cardenas,MX,24.65,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
404,Inirida,CO,27.0,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
408,Richards Bay,ZA,29.76,scattered clouds,-28.783,32.0377,Protea Hotel
417,Geraldton,AU,21.23,broken clouds,-28.7667,114.6,Ocean Centre Hotel
421,Bubaque,GW,25.84,few clouds,11.2833,-15.8333,Chez Julio
422,Caravelas,BR,29.68,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
425,Meulaboh,ID,25.16,overcast clouds,4.1363,96.1285,Hotel Meuligou
427,Iquique,CL,23.02,clear sky,-20.2208,-70.1431,Hostal Vivar
429,Batticaloa,LK,24.71,overcast clouds,7.7102,81.6924,Lake View Hotel
431,Diffa,NE,25.84,scattered clouds,13.3154,12.6113,UNHCR guest house
438,Sinnamary,GF,26.48,overcast clouds,5.3833,-52.95,Hôtel du fleuve
439,Aiquile,BO,24.63,clear sky,-18.2041,-65.1807,Quinta del Sur
442,Olinda,BR,28.85,scattered clouds,-8.0089,-34.8553,Fidji Motel
448,Sijunjung,ID,23.06,light rain,-0.6876,100.9537,Hotel Bukik Gadang
454,Dunmore Town,BS,23.29,few clouds,25.5,-76.65,The Landing Hotel & Restaurant
463,Kuching,MY,28.34,few clouds,1.55,110.3333,Hotel Samudera
464,Vanimo,PG,25.52,overcast clouds,-2.6741,141.3028,CBC Guesthouse
472,Rocha,UY,26.04,overcast clouds,-34.4833,-54.3333,Hotel Municipal
473,Beaufort,MY,23.72,overcast clouds,5.3473,115.7455,Rainbow Hotel
475,Namibe,AO,28.35,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
477,Iquitos,PE,27.02,scattered clouds,-3.7481,-73.2472,Marfil del Amazonas
484,Kalmunai,LK,24.43,overcast clouds,7.4167,81.8167,Saji new food
490,Manakara,MG,25.91,light rain,-22.1333,48.0167,Hotel H1
492,Saint-Georges,GD,28.82,few clouds,12.0564,-61.7485,Deyna's City Inn
495,Vila Velha,BR,30.97,scattered clouds,-20.3297,-40.2925,Hotel Prainha
500,Naze,JP,20.51,overcast clouds,28.3667,129.4833,ビジネス旅館畠山
502,Vao,NC,24.9,broken clouds,-22.6667,167.4833,Nataiwatch
504,Rio Grande,BR,24.06,overcast clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
507,Saint-Pierre,RE,26.82,light rain,-21.3393,55.4781,Tropic Hotel
509,Kloulklubed,PW,22.28,overcast clouds,7.0419,134.2556,The Adventures Inn
514,Manacapuru,BR,27.14,heavy intensity rain,-3.2997,-60.6206,Novo Hotel
517,Ambilobe,MG,25.07,moderate rain,-13.2,49.05,Hôtel National
527,Sao Sebastiao,BR,30.37,broken clouds,-23.76,-45.4097,Hotel do Sol Executive
529,Victor Harbor,AU,24.82,clear sky,-35.5667,138.6167,Hotel Victor
530,Tahoua,NE,27.99,clear sky,14.8888,5.2692,Hotel Bungalow
531,Cuiaba,BR,27.96,broken clouds,-15.5961,-56.0967,Mato Grosso Palace Hotel
534,Braganca Paulista,BR,24.84,broken clouds,-22.94,-46.5556,Hotel Fazeinda Tio Nicola
540,Moron,AR,29.99,clear sky,-34.6534,-58.6198,La Esquina
542,Denpasar,ID,27.81,scattered clouds,-8.65,115.2167,Hotel Candra Adiguna
544,Port Augusta,AU,30.95,clear sky,-32.5,137.7667,Hotel Commonwealth
547,Mercedes,AR,28.3,scattered clouds,-34.6515,-59.4307,Gran Hotel Mercedes
549,Pemba,MZ,30.39,light rain,-12.974,40.5178,Hotel Rafael
570,Araripina,BR,31.84,broken clouds,-7.5761,-40.4983,Hotel Recanto da Serra
575,Asosa,ET,24.42,broken clouds,10.0667,34.5333,Africa Hotel
578,Venado Tuerto,AR,27.09,clear sky,-33.7456,-61.9688,Hotel Salta
585,Wum,CM,30.93,clear sky,6.3833,10.0667,Morning Star hotel
587,Kasulu,TZ,20.54,light rain,-4.5767,30.1025,Alfa Lodge
588,Balsas,BR,31.74,overcast clouds,-7.5325,-46.0356,Imperial Hotel
592,Talara,PE,25.42,clear sky,-4.5772,-81.2719,Hospedaje El Aypate
600,Nouadhibou,MR,25.99,clear sky,20.931,-17.0347,Hotel valencia
601,Tevaitoa,PF,27.15,light rain,-16.7833,-151.5,Chambre d'hote
603,Sampit,ID,24.39,overcast clouds,-2.5333,112.95,Hotel Sultan
607,Daru,PG,25.44,overcast clouds,-9.0763,143.2092,Kuki
609,Cockburn Town,TC,25.07,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
615,Buchanan,LR,29.58,overcast clouds,5.8808,-10.0467,Phillipmena's Guesthouse
616,Mackay,AU,23.16,light rain,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
623,Hambantota,LK,26.19,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
625,Fort Myers Beach,US,22.25,heavy intensity rain,26.452,-81.9481,Key Estero Shops
626,Morondava,MG,29.3,scattered clouds,-20.2833,44.2833,Hotel Sharon Menabe
629,Tomigusuku,JP,21.87,few clouds,26.185,127.675,チャビラホテル那覇
634,Praia,CV,25.3,few clouds,14.9215,-23.5087,Casa Sodadi
642,Takoradi,GH,29.26,clear sky,4.8845,-1.7554,Hillcrest
648,Tarakan,ID,26.72,scattered clouds,3.3,117.6333,Hotel Dynasty
663,Miramar,US,25.01,clear sky,25.9873,-80.2323,El Palacio Sports Hotel
666,Keningau,MY,22.1,overcast clouds,5.3378,116.1602,Perkasa Hotel Keningau
667,Santa Cruz,BO,28.03,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
671,Maceio,BR,30.69,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
675,Nova Londrina,BR,29.58,broken clouds,-22.7658,-52.985,Hotel Felice
676,Iturama,BR,24.13,overcast clouds,-19.7281,-50.1956,Hotel Oliveira
